categoria_produto,preço
1-agro_industria_e_comercio,155
2-alimentos,58
3-artes,84
4-artes_e_artesanato,99
5-artigos_de_festas,198
6-artigos_de_natal,106
7-audio,82
8-automotivo,101
9-bebes,159
10-bebidas,131
11-beleza_e_saude,86
12-brinquedos,136
13-cama_mesa_e_banho,171
14-casa_e_conforto,108
15-casa_e_construcao,179
16-cds_e_musicais,84
17-cine_e_foto,177
18-climatizacao,52
19-consoles_e_games,168
20-ferramentas_de_construcao,95
21-ferramentas_de_iluminacao,117
22-ferramentas_de_jardim,155
23-ferramentas_de_seguranca,83
24-dvds,88
25-eletrodomesticos,100
26-eletronicos,57
27-eletroportateis,93
28-esporte_e_lazer,187
29-bolsas_e_acessorios,197
30-calcados,173
31-roupa_esportiva,176
32-roupa_feminina,192
33-roupa_infanto_e_juvenil,178
34-roupa_masculina,66
35-underwear_e_moda_praia,69
36-flores,130
37-fraldas_e_higiene,120
38-industria_comercio_e_negocios,162
39-informatica_acessorios,190
40-instrumentos_musicais,105
41-la_cuisine,97
42-livros_importados,59
43-livros_tecnicos,55
44-malas_e_acessorios,186
45-market_place,105
46-colchao_e_estofado,179
47-moveis_da_cozinha,69
48-moveis_de_decoracao,136
49-moveis_do_escritorio,115
50-moveis_do_quarto,54
51-moveis_da_sala,129
52-moveis_da_area_de_servico,53
53-musica,88
54-papelaria,121
55-pcs,176
56-perfumaria,63
57-pet_shop,80
58-portateis_da_casa,168
59-portateis_da_cozinha,74
60-relogios_e_presentes,53
61-seguros_e_servicos,126
62-sinalizacao_e_seguranca,137
63-tablets_impressao_e_imagem,174
64-telefonia,163
65-telefonia_fixa,191
66-utilidades_domesticas,161